group,Student1,Student2,Student3,Student4,Student5,Student6,Student7,,
Exam1,24,88,69,84,48,95,83,,
Exam2,70,86,49,43,82,41,82,,
Exam3,51,100,52,78,67,87,42,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Student1,,,,,,,
,,Student2,,,,,,,
,,Student3,,,,,,,
,,Student4,,,,,,,
,,Student5,,,,,,,
,,Student6,,,,,,,
,,Student7,,,,,,,
,,Student8,,,,,,,
,,Student9,,,,,,,
,,Student10,,,,,,,
,,Student11,,,,,,,
,,Student12,,,,,,,
,,Student13,,,,,,,
,,Student14,,,,,,,
,,Student15,,,,,,,
,,Student16,,,,,,,
,,Student17,,,,,,,
,,Student18,,,,,,,
,,Student19,,,,,,,
,,Student20,,,,,,,
,,Student21,,,,,,,
,,Student22,,,,,,,
,,Student23,,,,,,,
,,Student24,,,,,,,
,,Student25,,,,,,,
,,Student26,,,,,,,
,,Student27,,,,,,,
,,Student28,,,,,,,
,,Student29,,,,,,,
,,Student30,,,,,,,
,,Student31,,,,,,,
,,Student32,,,,,,,
,,Student33,,,,,,,
,,Student34,,,,,,,
,,Student35,,,,,,,
,,Student36,,,,,,,
,,Student37,,,,,,,
,,Student38,,,,,,,
,,Student39,,,,,,,
,,Student40,,,,,,,
,,Student41,,,,,,,
,,Student42,,,,,,,
,,Student43,,,,,,,
,,Student44,,,,,,,
,,Student45,,,,,,,
,,Student46,,,,,,,
,,Student47,,,,,,,
,,Student48,,,,,,,
,,Student49,,,,,,,
,,Student50,,,,,,,
,,Student51,,,,,,,
,,Student52,,,,,,,
,,Student53,,,,,,,
,,Student54,,,,,,,
,,Student55,,,,,,,
,,Student56,,,,,,,
,,Student57,,,,,,,
,,Student58,,,,,,,
,,Student59,,,,,,,
,,Student60,,,,,,,
,,Student61,,,,,,,
,,Student62,,,,,,,
,,Student63,,,,,,,
,,Student64,,,,,,,
,,Student65,,,,,,,
,,Student66,,,,,,,
,,Student67,,,,,,,
,,Student68,,,,,,,
,,Student69,,,,,,,
,,Student70,,,,,,,
,,Student71,,,,,,,
,,Student72,,,,,,,
,,Student73,,,,,,,
,,Student74,,,,,,,
,,Student75,,,,,,,
,,Student76,,,,,,,
,,Student77,,,,,,,
,,Student78,,,,,,,
,,Student79,,,,,,,
,,Student80,,,,,,,
,,Student81,,,,,,,
,,Student82,,,,,,,
,,Student83,,,,,,,
,,Student84,,,,,,,
,,Student85,,,,,,,
,,Student86,,,,,,,
,,Student87,,,,,,,
,,Student88,,,,,,,
,,Student89,,,,,,,
,,Student90,,,,,,,
,,Student91,,,,,,,
,,Student92,,,,,,,
,,Student93,,,,,,,
,,Student94,,,,,,,
,,Student95,,,,,,,
,,Student96,,,,,,,
,,Student97,,,,,,,
,,Student98,,,,,,,
,,Student99,,,,,,,
,,Student100,,,,,,,
